YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count
2012,11,DHADING,309.3,44.0,288.4,8.3,1
2012,11,DOLPA,314.73333333333335,32.0,298.0,40.8,3
2012,11,GORKHA,316.05,58.75,294.525,59.099999999999994,4
2012,11,JAJARKOT,306.7,49.833333333333336,289.8833333333333,140.6,6
2012,11,JUMLA,305.6,39.0,290.35,14.5,2
2012,11,KALIKOT,311.975,58.0,295.425,42.9,4
2012,11,KANCHANPUR,313.3666666666667,68.16666666666667,296.93333333333334,70.9,6
2012,11,KAPILBASTU,314.5,66.0,301.7,8.1,1
2012,11,KHOTANG,306.4,48.0,295.4,6.6,1
2012,11,LAMJUNG,308.1666666666667,48.0,290.09999999999997,23.9,3
2012,11,MUGU,312.88,64.4,291.06,82.2,5
2012,11,MYAGDI,306.9,41.5,294.1,16.1,2
2012,11,PARSA,309.3333333333333,51.666666666666664,298.09999999999997,15.1,3
2012,11,RUPANDEHI,311.94,55.4,298.84000000000003,34.5,5
2012,11,SANKHUWASABHA,309.2,29.0,290.6,10.1,1
2012,11,SAPTARI,313.9,61.5,301.70000000000005,14.2,2
2012,11,SINDHUPALCHOK,309.9,60.0,291.6,10.4,1
2012,11,SUNSARI,321.8,77.0,300.2,14.8,1
2012,12,BAJHANG,318.2,63.2,292.32,101.7,5
2012,12,BAJURA,311.8333333333333,65.66666666666667,294.53333333333336,34.1,3
2012,12,CHITAWAN,303.3,41.0,289.59999999999997,26.3,3
2012,12,DAILEKH,307.3,65.0,288.9,47.8,1
2012,12,DARCHULA,309.9,69.0,281.5,27.5,1
2012,12,DHADING,308.54,52.2,288.8,54.9,5
2012,12,DOLPA,316.0833333333333,47.833333333333336,293.56666666666666,127.6,6
2012,12,GORKHA,312.06,54.76,288.496,523.1,25
2012,12,HUMLA,305.8,40.0,288.0,8.6,1
2012,12,JAJARKOT,303.70000000000005,28.5,287.95000000000005,12.3,2
2012,12,JHAPA,329.95000000000005,84.5,296.7,176.5,2
2012,12,JUMLA,305.65,47.25,288.55,30.1,4
2012,12,KAILALI,300.5,37.0,282.8,4.2,1
2012,12,KALIKOT,311.9857142857143,56.142857142857146,286.24285714285713,127.8,7
2012,12,KASKI,315.4,69.0,285.65,37.6,2
2012,12,LAMJUNG,314.8,58.1875,289.13124999999997,528.2,16
2012,12,MAKAWANPUR,304.3,57.0,290.8,6.0,1
2012,12,MUGU,306.43333333333334,49.0,285.3,33.6,3
2012,12,MYAGDI,311.3333333333333,62.666666666666664,289.73333333333335,41.3,3
2012,12,PANCHTHAR,307.1,65.0,285.2,9.5,1
2012,12,PARSA,308.9,62.0,296.74,30.5,5
2012,12,RASUWA,335.29375,78.4375,286.96875,2088.2,16
2012,12,ROLPA,318.3,78.0,289.1,18.1,1
2012,12,RUKUM,307.59999999999997,39.333333333333336,290.09999999999997,29.3,3
2012,12,RUPANDEHI,308.7,61.0,297.0,4.7,1
2012,12,SANKHUWASABHA,320.6,80.0,285.7,21.0,1
2012,12,SAPTARI,316.07,68.4,297.87,174.0,10
2012,12,SINDHUPALCHOK,302.75,32.5,286.45,33.4,2
2012,12,SUNSARI,316.75,71.5,295.6,32.4,2
2012,12,TAPLEJUNG,314.92857142857144,55.0,283.7285714285714,530.2,7
2013,1,ARGHAKHANCHI,305.35,45.0,293.1,15.3,2
2013,1,BAJHANG,313.0571428571428,58.095238095238095,287.45714285714286,1068.6,21
2013,1,BAJURA,306.575,52.0,288.4,35.4,4
2013,1,BARA,306.4,63.0,291.6,6.0,1
2013,1,CHITAWAN,316.05384615384617,70.6923076923077,294.83846153846156,190.6,13
2013,1,DARCHULA,302.95000000000005,42.0,287.79999999999995,21.3,2
2013,1,DHADING,316.525,59.75,288.2375,283.7,8
2013,1,DOLAKHA,321.1666666666667,74.0,287.9666666666667,71.2,3
2013,1,DOLPA,324.71666666666664,64.83333333333333,290.35,398.4,6
2013,1,GORKHA,318.45714285714286,55.57142857142857,289.0928571428571,557.7,14
2013,1,HUMLA,314.26666666666665,62.0,291.23333333333335,51.5,3
2013,1,JAJARKOT,307.1333333333333,40.333333333333336,286.96666666666664,48.0,3
2013,1,JHAPA,306.1,58.0,294.6,4.2,1
2013,1,JUMLA,314.825,68.375,282.3375,226.1,8
2013,1,KALIKOT,304.7142857142857,40.285714285714285,287.07142857142856,91.8,7
2013,1,KASKI,317.0307692307692,57.0,286.65384615384613,515.1,13
2013,1,LAMJUNG,314.06666666666666,55.523809523809526,288.0904761904762,413.4,21
2013,1,MAHOTTARI,312.9,45.0,296.6,7.8,1
2013,1,MORANG,304.7,59.333333333333336,292.40000000000003,33.9,3
2013,1,MUGU,306.45,31.5,289.225,44.9,4
2013,1,MYAGDI,306.2,53.5,286.75,16.6,2
